player_id	year	yards	tds	att	comp	playoff_games	playoff_wins	pb_games
AikmTr00	1989	1749	9	293	155	0	0	0
AikmTr00	1990	4328	20	692	381	0	0	0
AikmTr00	1991	7082	31	1055	618	0	0	1
AikmTr00	1992	10527	54	1528	920	3	3	2
AikmTr00	1993	13627	69	1920	1191	6	6	3
AikmTr00	1994	16303	82	2281	1424	8	7	4
AikmTr00	1995	19607	98	2713	1704	11	10	5
AikmTr00	1996	22733	110	3178	2000	13	11	6
AikmTr00	1997	26016	129	3696	2292	13	11	6
AikmTr00	1998	28346	141	4011	2479	14	11	6
AikmTr00	1999	31310	158	4453	2742	15	11	6
AikmTr00	2000	32942	165	4715	2898	15	11	6
AlbeFr00	1950	1767	14	306	155	0	0	1
AlbeFr00	1951	2883	19	472	245	0	0	1
AlbeFr00	1952	3847	27	601	316	0	0	1
AlleJo02	2018	2074	10	320	169	0	0	0
AlleJo02	2019	5163	30	781	440	1	0	0
AlleJo02	2020	9707	67	1353	836	4	2	1
AlleJo02	2021	14114	103	1999	1245	6	3	2
AlleKy00	2018	266	2	31	20	0	0	0
AlleKy00	2019	3588	19	520	323	0	0	0
AlleKy00	2020	4198	23	607	383	0	0	0
AlleKy00	2021	4318	24	626	395	0	0	0
AndeDe00	2006	793	5	117	66	0	0	0
AndeDe00	2007	4580	34	644	364	0	0	1
AndeDe00	2008	6195	43	927	506	0	0	1
AndeDe00	2009	7083	46	1109	587	0	0	1
AndeDe00	2010	9148	53	1436	756	0	0	1
AndeDe00	2011	9148	53	1436	756	0	0	1
AndeDe00	2012	9206	53	1440	760	0	0	1
AndeDe00	2013	9206	53	1440	760	0	0	1
AndeDe00	2014	9907	58	1537	825	0	0	1
AndeDe00	2015	9943	58	1543	829	0	0	1
AndeDe00	2016	10396	60	1596	865	0	0	1
AndeDe00	2017	10413	60	1604	867	0	0	1
AndeDe00	2018	10878	60	1674	909	0	0	1
AndeKe00	1971	777	5	131	72	0	0	0
AndeKe00	1972	2695	12	432	243	0	0	0
AndeKe00	1973	5123	30	761	422	1	0	0
AndeKe00	1974	7790	48	1089	635	1	0	0
AndeKe00	1975	10959	69	1466	863	2	0	1
AndeKe00	1976	13326	88	1804	1042	2	0	2
AndeKe00	1977	15471	99	2127	1208	2	0	2
AndeKe00	1978	17690	109	2446	1381	2	0	2
AndeKe00	1979	20030	125	2785	1570	2	0	2
AndeKe00	1980	21808	131	3060	1736	2	0	2
AndeKe00	1981	25562	160	3539	2036	5	2	3
AndeKe00	1982	28057	172	3848	2254	6	2	4
AndeKe00	1983	30390	184	4145	2452	6	2	4
AndeKe00	1984	32497	194	4420	2627	6	2	4
AndeKe00	1985	32667	196	4452	2643	6	2	4
AndeKe00	1986	32838	197	4475	2654	6	2	4
ArchDa00	1984	181	1	18	11	0	0	0
ArchDa00	1985	2173	8	330	172	0	0	0
ArchDa00	1986	4180	18	624	322	0	0	0
ArchDa00	1987	4275	18	647	331	0	0	0
ArchDa00	1988	4275	18	649	331	0	0	0
ArchDa00	1989	4337	18	661	336	0	0	0
AvelBo00	1975	942	6	126	67	0	0	0
AvelBo00	1976	2522	14	397	185	0	0	0
AvelBo00	1977	4526	25	690	339	1	0	0
AvelBo00	1978	6244	30	954	480	1	0	0
AvelBo00	1979	6554	32	1005	507	1	0	0
AvelBo00	1980	6554	32	1005	507	1	0	0
AvelBo00	1981	6739	33	1037	522	1	0	0
AvelBo00	1982	6823	33	1057	530	1	0	0
AvelBo00	1983	6823	33	1057	530	1	0	0
AvelBo00	1984	7111	33	1110	560	1	0	0
BankTo00	1996	2544	15	368	192	0	0	0
BankTo00	1997	5798	29	855	444	0	0	0
